category,works,group,name
cs.LG,285051,Computer Science,Machine Learning
cs.CV,205034,Computer Science,Computer Vision and Pattern Recognition
cs.AI,199222,Computer Science,Artificial Intelligence
hep-ph,199160,Physics,High Energy Physics - Phenomenology
quant-ph,186217,Physics,Quantum Physics
hep-th,185497,Physics,High Energy Physics - Theory
gr-qc,124556,Physics,General Relativity and Quantum Cosmology
cs.CL,118753,Computer Science,Computation and Language
cond-mat.mtrl-sci,112131,Physics,Materials Science
astro-ph,105380,Legacy / unmapped,Historical code; retained as supplied
cond-mat.mes-hall,103263,Physics,Mesoscale and Nanoscale Physics
math.MP,92196,Mathematics,Mathematical Physics
math-ph,92196,Physics,Mathematical Physics
cond-mat.str-el,84486,Physics,Strongly Correlated Electrons
cond-mat.stat-mech,83162,Physics,Statistical Mechanics
math.CO,82002,Mathematics,Combinatorics
stat.ML,79911,Statistics,Machine Learning
astro-ph.GA,79663,Physics,Astrophysics of Galaxies
astro-ph.CO,78733,Physics,Cosmology and Nongalactic Astrophysics
math.AP,76780,Mathematics,Analysis of PDEs
astro-ph.SR,71021,Physics,Solar and Stellar Astrophysics
astro-ph.HE,70991,Physics,High Energy Astrophysical Phenomena
math.PR,67991,Mathematics,Probability
math.OC,64171,Mathematics,Optimization and Control
nucl-th,63511,Physics,Nuclear Theory
hep-ex,61313,Physics,High Energy Physics - Experiment
math.AG,61100,Mathematics,Algebraic Geometry
physics.optics,58080,Physics,Optics
cs.RO,57833,Computer Science,Robotics
cs.IT,56004,Computer Science,Information Theory
math.IT,56004,Mathematics,Information Theory
cs.CR,51916,Computer Science,Cryptography and Security
math.NA,51534,Mathematics,Numerical Analysis
cs.NA,51533,Computer Science,Numerical Analysis
math.NT,50700,Mathematics,Number Theory
math.DG,49223,Mathematics,Differential Geometry
cs.SY,48161,Computer Science,Systems and Control
eess.SY,48159,Electrical Engineering and Systems Science,Systems and Control
cond-mat.supr-con,47962,Physics,Superconductivity
cond-mat.soft,46066,Physics,Soft Condensed Matter
math.DS,44324,Mathematics,Dynamical Systems
eess.SP,41998,Electrical Engineering and Systems Science,Signal Processing
stat.ME,37741,Statistics,Methodology
astro-ph.IM,37364,Physics,Instrumentation and Methods for Astrophysics
math.FA,37232,Mathematics,Functional Analysis
