month,works
1986-04,1
1988-11,1
1989-04,1
1989-10,3
1989-11,2
1990-01,6
1990-02,2
1990-03,2
1990-04,2
1990-05,2
1990-06,2
1990-07,2
1990-08,1
1990-09,4
1990-11,1
1990-12,2
1991-01,10
1991-02,3
1991-03,3
1991-04,4
1991-05,3
1991-06,6
1991-07,4
1991-08,30
1991-09,61
1991-10,82
1991-11,67
1991-12,80
1992-01,108
1992-02,131
1992-03,119
1992-04,241
1992-05,235
1992-06,237
1992-07,298
1992-08,228
1992-09,337
1992-10,399
1992-11,450
1992-12,407
1993-01,377
1993-02,437
1993-03,505
1993-04,504
1993-05,542
1993-06,539
1993-07,640
1993-08,543
1993-09,520
1993-10,672
1993-11,713
1993-12,737
1994-01,615
1994-02,651
1994-03,750
1994-04,725
1994-05,846
1994-06,890
1994-07,855
1994-08,764
1994-09,880
1994-10,940
1994-11,1109
1994-12,1053
1995-01,924
1995-02,982
1995-03,1146
1995-04,938
1995-05,1107
1995-06,1161
1995-07,1049
1995-08,1031
1995-09,1105
1995-10,1239
1995-11,1176
1995-12,1148
1996-01,1045
1996-02,1080
1996-03,1159
1996-04,1217
1996-05,1335
1996-06,1341
1996-07,1429
1996-08,1465
1996-09,1421
1996-10,1509
1996-11,1462
1996-12,1409
1997-01,1364
1997-02,1341
1997-03,1376
1997-04,1472
1997-05,1579
1997-06,1701
1997-07,1795
1997-08,1448
1997-09,1852
1997-10,2016
1997-11,1768
1997-12,1898
1998-01,1751
1998-02,1662
1998-03,1897
1998-04,1741
1998-05,1963
1998-06,2052
1998-07,2095
1998-08,1829
1998-09,2419
1998-10,2353
1998-11,2212
1998-12,2196
1999-01,1889
1999-02,1933
1999-03,2350
1999-04,2150
1999-05,2227
1999-06,2435
1999-07,2434
1999-08,2114
1999-09,2489
1999-10,2477
1999-11,2616
1999-12,2586
2000-01,2364
2000-02,2365
2000-03,2600
2000-04,2135
2000-05,2675
2000-06,2431
2000-07,2463
2000-08,2614
2000-09,2552
2000-10,2886
2000-11,2862
2000-12,2722
2001-01,2522
2001-02,2429
2001-03,2754
2001-04,2572
2001-05,2912
2001-06,2898
2001-07,2724
2001-08,2421
2001-09,2619
2001-10,3347
2001-11,3236
2001-12,2706
2002-01,2719
2002-02,2565
2002-03,2714
2002-04,2809
2002-05,3086
2002-06,2751
2002-07,3222
2002-08,2744
2002-09,3289
2002-10,3528
2002-11,3456
2002-12,3222
2003-01,2930
2003-02,2879
2003-03,3021
2003-04,3108
2003-05,3315
2003-06,3411
2003-07,3421
2003-08,2818
2003-09,3664
2003-10,3826
2003-11,3429
2003-12,3570
2004-01,3111
2004-02,3326
2004-03,3518
2004-04,3369
2004-05,3556
2004-06,3716
2004-07,3706
2004-08,3266
2004-09,3937
2004-10,4155
2004-11,4066
2004-12,3987
2005-01,3507
2005-02,3232
2005-03,3891
2005-04,3731
2005-05,3735
2005-06,3987
2005-07,3927
2005-08,3691
2005-09,4349
2005-10,4413
2005-11,4294
2005-12,4117
2006-01,3822
2006-02,3523
2006-03,4200
2006-04,3582
2006-05,4130
2006-06,4114
2006-07,4206
2006-08,4061
2006-09,4341
2006-10,5071
2006-11,4854
2006-12,4401
2007-01,4541
2007-02,4165
2007-03,4510
2007-04,3991
2007-05,4686
2007-06,4524
2007-07,4649
2007-08,4394
2007-09,4828
2007-10,5811
2007-11,5019
2007-12,4631
2008-01,4753
2008-02,4458
2008-03,4527
2008-04,4890
2008-05,4906
2008-06,4916
2008-07,5144
2008-08,4269
2008-09,5177
2008-10,5772
2008-11,4903
2008-12,5095
2009-01,4905
2009-02,4930
2009-03,5476
2009-04,4922
2009-05,5099
2009-06,5483
2009-07,5593
2009-08,4621
2009-09,5699
2009-10,6010
2009-11,5659
2009-12,5674
2010-01,5454
2010-02,5093
2010-03,5987
2010-04,5605
2010-05,5734
2010-06,5975
2010-07,5603
2010-08,5330
2010-09,6205
2010-10,6481
2010-11,6522
2010-12,6299
2011-01,5804
2011-02,5786
2011-03,6290
2011-04,5780
2011-05,6301
2011-06,6381
2011-07,6176
2011-08,6191
2011-09,6923
2011-10,6952
2011-11,7308
2011-12,6710
2012-01,6418
2012-02,6720
2012-03,7022
2012-04,6642
2012-05,7044
2012-06,7209
2012-07,7259
2012-08,6579
2012-09,6841
2012-10,8329
2012-11,7348
2012-12,6963
2013-01,7708
2013-02,7301
2013-03,8007
2013-04,7623
2013-05,7507
2013-06,7163
2013-07,8258
2013-08,6947
2013-09,7952
2013-10,8609
2013-11,7822
2013-12,7978
2014-01,8060
2014-02,7420
2014-03,8208
2014-04,7864
2014-05,7967
2014-06,7832
2014-07,8508
2014-08,7358
2014-09,8509
2014-10,8850
2014-11,8305
2014-12,8709
2015-01,7904
2015-02,8005
2015-03,9005
2015-04,8368
2015-05,8423
2015-06,8979
2015-07,8999
2015-08,8012
2015-09,9322
2015-10,9371
2015-11,9442
2015-12,9300
2016-01,8605
2016-02,8890
2016-03,9716
2016-04,9019
2016-05,9718
2016-06,9581
2016-07,9103
2016-08,8795
2016-09,9863
2016-10,10091
2016-11,10347
2016-12,9712
2017-01,9029
2017-02,8892
2017-03,11054
2017-04,9335
2017-05,10953
2017-06,10236
2017-07,10079
2017-08,9857
2017-09,10636
2017-10,11477
2017-11,11621
2017-12,10612
2018-01,10336
2018-02,10563
2018-03,11706
2018-04,11226
2018-05,12570
2018-06,11707
2018-07,11844
2018-08,10804
2018-09,11643
2018-10,13078
2018-11,12975
2018-12,11925
2019-01,11541
2019-02,11333
2019-03,13090
2019-04,12939
2019-05,13783
2019-06,12736
2019-07,13224
2019-08,11983
2019-09,13791
2019-10,14647
2019-11,13538
2019-12,13312
2020-01,11949
2020-02,13234
2020-03,14167
2020-04,15077
2020-05,15168
2020-06,16455
2020-07,16251
2020-08,13776
2020-09,14805
2020-10,16709
2020-11,14968
2020-12,15716
2021-01,13185
2021-02,13820
2021-03,16794
2021-04,15079
2021-05,15210
2021-06,16226
2021-07,15022
2021-08,13760
2021-09,15310
2021-10,16462
2021-11,15238
2021-12,15493
2022-01,13537
2022-02,14028
2022-03,17211
2022-04,14524
2022-05,15860
2022-06,15482
2022-07,15273
2022-08,14590
2022-09,15603
2022-10,17654
2022-11,17182
2022-12,15043
2023-01,13708
2023-02,14854
2023-03,18325
2023-04,15368
2023-05,19792
2023-06,17715
2023-07,17087
2023-08,16896
2023-09,17895
2023-10,20371
2023-11,18897
2023-12,18315
2024-01,17622
2024-02,19521
2024-03,20806
2024-04,19303
2024-05,21126
2024-06,20717
2024-07,20666
2024-08,17789
2024-09,20448
2024-10,24129
2024-11,20228
2024-12,21335
2025-01,18932
2025-02,21532
2025-03,24386
2025-04,21701
2025-05,25658
2025-06,23514
2025-07,23650
2025-08,22596
2025-09,26158
2025-10,27477
2025-11,24398
2025-12,24160
2026-01,24135
2026-02,24378
2026-03,29578
2026-04,28201
2026-05,33044
2026-06,31000
2026-07,29539
2026-08,30571
2026-09,11111
