id,display_name,orcid,works_count,cited_by_count
https://openalex.org/A5000176873,Ornella Mich,,67,1207
https://openalex.org/A5000540315,Matteo Gerosa,https://orcid.org/0000-0001-7741-0436,31,1034
https://openalex.org/A5000848496,Elisabeth L. G. Sikken,,2,69
https://openalex.org/A5001006565,Philip J. Dunham,,78,3835
https://openalex.org/A5001164649,فریبا شهرکی ثانوی,,2,0
https://openalex.org/A5001630524,E. A. Tutov,https://orcid.org/0000-0002-5481-8137,28,87
https://openalex.org/A5002146860,Z. Luz,,281,8266
https://openalex.org/A5002753249,A. E. W. Boyd,,40,445
https://openalex.org/A5002773536,Yanna NuLi,https://orcid.org/0000-0003-0604-8550,277,15293
https://openalex.org/A5004898999,牛智川,,81,6
https://openalex.org/A5004965764,Graeme D Smith,https://orcid.org/0000-0003-2974-3919,198,2974
https://openalex.org/A5005833713,Bobbi Rhe Stringer,https://orcid.org/0000-0001-5427-7951,5,9
https://openalex.org/A5005963737,Olga Lavinda,https://orcid.org/0000-0003-3577-5984,29,148
https://openalex.org/A5006083279,Thomas Bugge,https://orcid.org/0000-0001-7046-4060,221,14448
https://openalex.org/A5006150070,詹峰,,2,0
https://openalex.org/A5006291799,Nia C. S. Lewis,https://orcid.org/0000-0001-9096-6703,52,2160
https://openalex.org/A5006477586,Silvia Montaner,https://orcid.org/0000-0002-6354-5898,82,5195
https://openalex.org/A5006492499,David F. Tolin,https://orcid.org/0000-0003-0123-889X,423,31461
https://openalex.org/A5006498263,James J. Heger,,118,6460
https://openalex.org/A5007057615,A. Zimmermann,,38,714
https://openalex.org/A5008431508,Mariano Martínez,https://orcid.org/0000-0003-4460-8045,55,432
https://openalex.org/A5009513706,Kedmon Hungwe,https://orcid.org/0000-0002-1911-509X,36,222
https://openalex.org/A5009514589,Sasan Karimi,https://orcid.org/0000-0002-6687-7556,53,328
https://openalex.org/A5009855846,Alyosha Molnar,https://orcid.org/0000-0001-7674-1874,161,4608
https://openalex.org/A5011527211,شهین دخت نوابی ریگی,,8,0
https://openalex.org/A5012048535,Polat Topuz,https://orcid.org/0000-0001-9715-6682,33,149
https://openalex.org/A5012589022,Maria T. M. Dijkstra,,33,1445
https://openalex.org/A5012686175,Yoshihisa Sone,,13,116
https://openalex.org/A5012770158,G. A. Ravishankar,https://orcid.org/0000-0003-3486-9161,375,21617
https://openalex.org/A5012790096,A. Bowcock,https://orcid.org/0000-0001-8691-9090,927,32765
https://openalex.org/A5013110958,Bernardo Moreno Jiménez,https://orcid.org/0000-0001-5360-0518,290,6241
https://openalex.org/A5014055213,Yagil Levy,https://orcid.org/0000-0002-6166-9395,106,985
https://openalex.org/A5014072954,王莉娟,,74,1
https://openalex.org/A5014143201,L.P. Muren,https://orcid.org/0000-0002-7418-5832,460,5294
https://openalex.org/A5014698375,김성은,,968,71
https://openalex.org/A5014818202,L. Rajendran,https://orcid.org/0000-0001-8840-7419,138,1374
https://openalex.org/A5015012736,J Turco,,35,686
https://openalex.org/A5015577984,Tuhudahong Yilinuer,,1,67
https://openalex.org/A5015665148,Prem Gunnasegaran,,76,2385
https://openalex.org/A5015745192,Amar J. Majmundar,https://orcid.org/0000-0002-9891-178X,77,4840
https://openalex.org/A5017089838,Urs Führer,,61,3299
https://openalex.org/A5017193780,Lingling Shui,,146,3366
https://openalex.org/A5017208488,Xing‐Han Wang,,23,238
https://openalex.org/A5017244146,B.W. Cook,,9,716
https://openalex.org/A5017568297,Eren Yılmaz,https://orcid.org/0000-0001-7264-2588,60,849
https://openalex.org/A5017883854,Stefan Meyna,,1,2
https://openalex.org/A5018481266,Carl R. Oman,,7,55
https://openalex.org/A5018742363,H.D. Harmon,,40,147
https://openalex.org/A5018768419,박재정,,8,10
https://openalex.org/A5021019491,Michele Iovieno,https://orcid.org/0000-0003-3200-5765,140,473
https://openalex.org/A5022852726,Kennedy Walibora Waliaula,,2,0
https://openalex.org/A5022872215,P. W. Trezona,,17,393
https://openalex.org/A5023555924,P. Läger,,1,10
https://openalex.org/A5023694573,Mansour A. Parsi,https://orcid.org/0000-0002-1354-9815,254,6190
https://openalex.org/A5023727622,Slavica Gašić,https://orcid.org/0000-0002-5076-0281,43,405
https://openalex.org/A5024377495,E Myersough,,1,6
https://openalex.org/A5024823565,Behfar Eivazi,,57,1469
https://openalex.org/A5026802381,Hussein A. Mohammed,https://orcid.org/0000-0002-8730-3674,299,13121
https://openalex.org/A5026909899,Piotr Tékély,https://orcid.org/0000-0002-9470-0168,131,3271
https://openalex.org/A5027032021,S. Holt,https://orcid.org/0000-0001-5004-5539,416,11399
https://openalex.org/A5027675893,Keiko Aogaichi,,15,258
https://openalex.org/A5028065206,A. I. Goldman,https://orcid.org/0000-0002-4341-1374,523,16370
https://openalex.org/A5029294958,Wiebke Ebeling,,2,124
https://openalex.org/A5029453363,L. V. Venkataraman,,89,2118
https://openalex.org/A5030094754,Новикова Мария Вячеславовна,,1,0
https://openalex.org/A5030647016,Janghyeok Yoon,https://orcid.org/0000-0002-8701-0695,136,3657
https://openalex.org/A5030656334,Marcelo Gervilla Gregório,https://orcid.org/0000-0002-2526-4606,42,657
https://openalex.org/A5033219628,John C. Somberg,https://orcid.org/0000-0002-4518-6203,581,6598
https://openalex.org/A5034071199,Gaetano Maria Di Cicca,https://orcid.org/0000-0002-8735-5853,70,436
https://openalex.org/A5034260423,정성애,,54,4
https://openalex.org/A5034625687,Irina Mironova,https://orcid.org/0000-0003-4437-834X,90,1403
https://openalex.org/A5035100394,Tarmidi Tarmidi,,10,62
https://openalex.org/A5035183416,Tobias Amann,https://orcid.org/0000-0002-3683-0183,54,1039
https://openalex.org/A5036641663,Kate N. Thomas,https://orcid.org/0000-0003-1565-9169,108,3378
https://openalex.org/A5036730126,Alfredo A. Molinolo,,90,2097
https://openalex.org/A5037149546,Masaki Takahashi,https://orcid.org/0000-0002-4038-8164,261,3468
https://openalex.org/A5037380376,Lou Massa,https://orcid.org/0000-0001-6662-3428,228,2758
https://openalex.org/A5037520322,علیرضا انصاری مقدم,,17,0
