id,display_name,type,issn_l,is_oa,works_count
https://openalex.org/S100649693,Computer Assisted Language Learning,journal,0958-8221,False,1558
https://openalex.org/S1043257,Acta Oncologica,journal,0284-186X,True,7497
https://openalex.org/S107033909,Journal of Economics,journal,0931-8658,False,1992
https://openalex.org/S108525051,Journal of Allergy and Clinical Immunology,journal,0091-6749,False,56738
https://openalex.org/S116566766,The Journal of the American Dental Association,journal,0002-8177,False,34444
https://openalex.org/S118246204,International Communications in Heat and Mass Transfer,journal,0735-1933,False,11769
https://openalex.org/S119968383,Educational Psychology in Practice,journal,0266-7363,False,1745
https://openalex.org/S13144211,Expert Systems with Applications,journal,0957-4174,False,30322
https://openalex.org/S137084839,Dyes and Pigments,journal,0143-7208,False,13390
https://openalex.org/S138564541,Research in African Literatures,journal,0034-5210,False,3708
https://openalex.org/S138759888,Journal of The Electrochemical Society,journal,0013-4651,False,55623
https://openalex.org/S140889577,Journal of Applied Physiology,journal,1522-1601,False,34057
https://openalex.org/S143352558,Gastroenterology,journal,0016-5085,False,153862
https://openalex.org/S14419372,Journal of Fluids Engineering,journal,0098-2202,False,7883
https://openalex.org/S146035217,Genomics,journal,0888-7543,True,11338
https://openalex.org/S146237847,The Journal of Clinical Pharmacology,journal,0091-2700,False,9437
https://openalex.org/S159852663,Clinical Pharmacology & Therapeutics,journal,0009-9236,False,18772
https://openalex.org/S162267923,The Korean Journal of Internal Medicine,journal,1226-3303,True,8564
https://openalex.org/S16737290,Wear,journal,0043-1648,False,23939
https://openalex.org/S172573765,JAMA,journal,0098-7484,False,268589
https://openalex.org/S172772906,Clinical and Experimental Otorhinolaryngology,journal,1976-8710,True,988
https://openalex.org/S186055561,STRUCTURAL ENGINEERING AND MECHANICS,journal,1225-4568,False,4072
https://openalex.org/S186589312,Behaviour Research and Therapy,journal,0005-7967,False,8730
https://openalex.org/S186920367,The American Journal of Medicine,journal,0002-9343,False,34817
https://openalex.org/S188605413,Carbon,journal,0008-6223,False,30394
https://openalex.org/S194146006,Acta Physiologiae Plantarum,journal,0137-5881,False,5602
https://openalex.org/S1980519,The Astrophysical Journal,journal,0004-637X,True,132811
https://openalex.org/S200437886,BMC Public Health,journal,1471-2458,True,33420
https://openalex.org/S20257348,Journal of Experimental Biology,journal,0022-0949,False,23813
https://openalex.org/S21016770,Armed Forces & Society,journal,0095-327X,False,2911
https://openalex.org/S23753256,Journal of Cross-Cultural Psychology,journal,0022-0221,False,2983
https://openalex.org/S24509660,Journal of Reconstructive Microsurgery,journal,0743-684X,False,4459
https://openalex.org/S24807848,Physical Review Letters,journal,0031-9007,False,145266
https://openalex.org/S25671836,Cancer Cell,journal,1535-6108,False,4190
https://openalex.org/S2764675630,Journal of Educational and Social Research,journal,2239-978X,True,2324
https://openalex.org/S2764682314,Japanese Circulation Journal,journal,0047-1828,False,7539
https://openalex.org/S2764876753,Whispering wind,journal,0300-6565,False,166
https://openalex.org/S2764902619,Pyrethrum Post,journal,0048-6043,False,111
https://openalex.org/S2765017384,Materials Testing,journal,0025-5300,False,10519
https://openalex.org/S2945435,Animal Learning & Behavior,journal,0090-4996,False,1955
https://openalex.org/S32271328,Journal of Environmental Psychology,journal,0272-4944,False,3437
https://openalex.org/S41354064,ChemInform,journal,0931-7597,False,487745
https://openalex.org/S4210174675,"Physical review. B, Condensed matter",journal,0163-1829,False,93138
https://openalex.org/S4210175454,Management Research The Journal of the Iberoamerican Academy of Management,journal,1536-5433,False,484
https://openalex.org/S4210176233,Canadian Journal of Research/Canadian journal of research,journal,0366-6581,False,3285
https://openalex.org/S4210180733,International Oil Spill Conference Proceedings,journal,2169-3358,False,4157
https://openalex.org/S4210194590,Pesticidi i fitomedicina,journal,1820-3949,True,393
https://openalex.org/S4210205735,Chinese Science Bulletin,journal,1001-6538,False,10484
https://openalex.org/S4210208108,Electromagnetic waves,journal,1070-4698,True,3626
https://openalex.org/S4210227003,Científica,journal,0100-0039,True,459
https://openalex.org/S4306473774,Jérôme Millon eBooks,ebook platform,,False,18
https://openalex.org/S4306480489,"Taylor & Francis, Inc. eBooks",ebook platform,,False,101
https://openalex.org/S4306504167,Berichte der Bunsengesellschaft für physikalische Chemie,journal,0005-9021,False,13429
https://openalex.org/S4306509026,EKONOMIA,journal,,False,806
https://openalex.org/S4306517100,Jurnal Riset Mahasiswa Akuntansi Unikama,journal,,False,164
https://openalex.org/S4306530599,SPE Annual Technical Conference and Exhibition,conference,,False,14627
https://openalex.org/S4306537707,مجله ایرانی آموزش در علوم پزشکی,journal,,False,1495
https://openalex.org/S4306538783,Вестник Тамбовского университета. Серия: Гуманитарные науки,journal,,False,7198
https://openalex.org/S4306539631,Молодой ученый,journal,,False,58526
https://openalex.org/S4306544343,剑南文学：经典教苑（下）,journal,,False,1052
https://openalex.org/S4306544928,半导体学报：英文版,journal,,False,1894
https://openalex.org/S43893605,Postgraduate Medical Journal,journal,0032-5473,False,22535
https://openalex.org/S4406922277,DepositOnce,repository,,False,18813
https://openalex.org/S52609742,HTS Teologiese Studies / Theological Studies,journal,0259-9422,True,6280
https://openalex.org/S59007373,Supply Chain Management An International Journal,journal,1359-8546,False,1343
https://openalex.org/S66562390,Jornal de Pneumologia,journal,0102-3586,True,539
https://openalex.org/S6785741,Mechanism and Machine Theory,journal,0094-114X,False,7727
https://openalex.org/S68719679,Vision Research,journal,0042-6989,False,16166
https://openalex.org/S71879176,Annals of Applied Biology,journal,0003-4746,False,10702
https://openalex.org/S74477906,Gastrointestinal Nursing,journal,1479-5248,False,2427
https://openalex.org/S74992862,Inorganic and Nuclear Chemistry Letters,journal,0020-1650,False,2599
https://openalex.org/S83637746,IEEE Journal of Solid-State Circuits,journal,0018-9200,False,16458
https://openalex.org/S84376829,Technical Physics,journal,1063-7842,False,9516
https://openalex.org/S8802318,Annals of the New York Academy of Sciences,journal,0077-8923,False,70277
https://openalex.org/S90573847,Journal of Magnetic Resonance,journal,1090-7807,False,7054
