id,display_name,subfield_display_name,field_display_name,domain_display_name
https://openalex.org/T10018,Advancements in Battery Materials,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10019,Corporate Finance and Governance,Accounting,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10026,"Galaxies: Formation, Evolution, Phenomena",Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10037,Physics of Superconductivity and Magnetism,Condensed Matter Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10051,Asthma and respiratory diseases,Physiology,Medicine,Health Sciences
https://openalex.org/T10101,Cloud Computing and Resource Management,Information Systems,Computer Science,Physical Sciences
https://openalex.org/T10106,Autism Spectrum Disorder Research,Cognitive Neuroscience,Neuroscience,Life Sciences
https://openalex.org/T10152,Animal Nutrition and Physiology,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T10166,Mosquito-borne diseases and control,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences
https://openalex.org/T10187,Radio Frequency Integrated Circuit Design,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10190,Air Quality and Health Impacts,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences
https://openalex.org/T10198,Heart Failure Treatment and Management,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
https://openalex.org/T10208,Labor market dynamics and wage inequality,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T10240,Plant tissue culture and regeneration,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10262,Microwave Engineering and Waveguides,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10263,Eating Disorders and Behaviors,Clinical Psychology,Psychology,Social Sciences
https://openalex.org/T10265,Multilingual Education and Policy,Linguistics and Language,Social Sciences,Social Sciences
https://openalex.org/T10266,Plant Water Relations and Carbon Dynamics,Global and Planetary Change,Environmental Science,Physical Sciences
https://openalex.org/T10274,Synthesis and biological activity,Organic Chemistry,Chemistry,Physical Sciences
https://openalex.org/T10281,Advanced Battery Materials and Technologies,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10285,Venous Thromboembolism Diagnosis and Management,Internal Medicine,Medicine,Health Sciences
https://openalex.org/T10286,Information Retrieval and Search Behavior,Information Systems,Computer Science,Physical Sciences
https://openalex.org/T10296,Vector-borne infectious diseases,Parasitology,Immunology and Microbiology,Life Sciences
https://openalex.org/T10303,Photosynthetic Processes and Mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10306,Liquid Crystal Research Advancements,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences
https://openalex.org/T10333,Meat and Animal Product Quality,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T10358,Advanced Radiotherapy Techniques,Radiation,Physics and Astronomy,Physical Sciences
https://openalex.org/T10359,Dental Implant Techniques and Outcomes,Oral Surgery,Dentistry,Health Sciences
https://openalex.org/T10360,Fluid Dynamics and Turbulent Flows,Computational Mechanics,Engineering,Physical Sciences
https://openalex.org/T10362,Biblical Studies and Interpretation,Religious studies,Arts and Humanities,Social Sciences
https://openalex.org/T10377,Metal and Thin Film Mechanics,Mechanics of Materials,Engineering,Physical Sciences
https://openalex.org/T10378,Advanced MRI Techniques and Applications,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
https://openalex.org/T10403,Phonetics and Phonology Research,Experimental and Cognitive Psychology,Psychology,Social Sciences
https://openalex.org/T10453,Maternal and Perinatal Health Interventions,Obstetrics and Gynecology,Medicine,Health Sciences
https://openalex.org/T10461,Gas Sensing Nanomaterials and Sensors,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10475,Psychological Well-being and Life Satisfaction,Social Psychology,Psychology,Social Sciences
https://openalex.org/T10502,Advanced Memory and Neural Computing,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10539,Sustainable Supply Chain Management,Strategy and Management,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10571,Robotic Mechanisms and Dynamics,Control and Systems Engineering,Engineering,Physical Sciences
https://openalex.org/T10599,Reconstructive Surgery and Microvascular Techniques,Surgery,Medicine,Health Sciences
https://openalex.org/T10607,Magnetic and transport properties of perovskites and related materials,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences
https://openalex.org/T10624,Silicon and Solar Cell Technologies,Electrical and Electronic Engineering,Engineering,Physical Sciences
https://openalex.org/T10632,Housing Market and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/T10634,Food Allergy and Anaphylaxis Research,Immunology and Allergy,Medicine,Health Sciences
https://openalex.org/T10636,Innovative Teaching and Learning Methods,Developmental and Educational Psychology,Psychology,Social Sciences
https://openalex.org/T10641,Central Venous Catheters and Hemodialysis,Emergency Medical Services,Health Professions,Health Sciences
https://openalex.org/T10658,Bone fractures and treatments,Epidemiology,Medicine,Health Sciences
https://openalex.org/T10660,Conducting polymers and applications,Polymers and Plastics,Materials Science,Physical Sciences
https://openalex.org/T10661,biodegradable polymer synthesis and properties,Biomaterials,Materials Science,Physical Sciences
https://openalex.org/T10681,Rare-earth and actinide compounds,Condensed Matter Physics,Physics and Astronomy,Physical Sciences
https://openalex.org/T10685,Viral-associated cancers and disorders,Oncology,Medicine,Health Sciences
https://openalex.org/T10702,Insect and Arachnid Ecology and Behavior,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/T10742,Peer-to-Peer Network Technologies,Computer Networks and Communications,Computer Science,Physical Sciences
https://openalex.org/T10745,Heart Rate Variability and Autonomic Control,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
https://openalex.org/T10750,Fermentation and Sensory Analysis,Food Science,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/T10754,Neuroendocrine Tumor Research Advances,Epidemiology,Medicine,Health Sciences
https://openalex.org/T10760,Pancreatitis Pathology and Treatment,Surgery,Medicine,Health Sciences
https://openalex.org/T10784,Muscle activation and electromyography studies,Biomedical Engineering,Engineering,Physical Sciences
https://openalex.org/T10786,Maternal Mental Health During Pregnancy and Postpartum,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences
https://openalex.org/T10794,Islamic Studies and History,Political Science and International Relations,Social Sciences,Social Sciences
https://openalex.org/T10817,Multicomponent Synthesis of Heterocycles,Organic Chemistry,Chemistry,Physical Sciences
https://openalex.org/T10826,Behavioral and Psychological Studies,Developmental and Educational Psychology,Psychology,Social Sciences
https://openalex.org/T10838,Animal Behavior and Welfare Studies,Small Animals,Veterinary,Health Sciences
https://openalex.org/T10850,Heat Transfer and Boiling Studies,Mechanical Engineering,Engineering,Physical Sciences
https://openalex.org/T10853,"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",Experimental and Cognitive Psychology,Psychology,Social Sciences
https://openalex.org/T10856,Intellectual Property and Patents,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences
https://openalex.org/T10870,Interstitial Lung Diseases and Idiopathic Pulmonary Fibrosis,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
https://openalex.org/T10877,Allergic Rhinitis and Sensitization,Immunology and Allergy,Medicine,Health Sciences
https://openalex.org/T10879,Robotic Locomotion and Control,Biomedical Engineering,Engineering,Physical Sciences
