id,title,publication_year,type,language,cited_by_count,primary_location_source_id,primary_topic_id,doi,is_retracted
https://openalex.org/W1554476988,Women in Taarab (review),2008,article,en,0,https://openalex.org/S138564541,https://openalex.org/T10794,,False
https://openalex.org/W1555224325,ANALISIS RENTABILITAS PADA PT. SEPATU BATA.Tbk INDONESIA,2015,article,id,0,https://openalex.org/S4306509026,https://openalex.org/T12123,,False
https://openalex.org/W1556073558,Pengaruh Laba dan Arus Kas terhadap Harga Saham pada Perusahaan Manufaktur yang Terdaftar di Bursa Efek Indonesia,2014,article,id,0,https://openalex.org/S4306517100,https://openalex.org/T12123,,False
https://openalex.org/W1558442472,Bioefficacy of pyrethrins extracted from callus tissues of chrysanthemum cinerariaefolium,1991,article,en,6,https://openalex.org/S2764902619,https://openalex.org/T11546,,False
https://openalex.org/W1559356957,Influence of window layer thickness on double layer antireflection coating for triple junction solar cells,2011,article,en,0,https://openalex.org/S4306544928,https://openalex.org/T12309,,False
https://openalex.org/W1561409268,Search strategies and database design for information retrieval in libraries,1988,book,en,8,https://openalex.org/S4306480489,https://openalex.org/T10286,,False
https://openalex.org/W1562630836,Tumor carcinóide: broncotomia como alternativa técnica,1999,article,pt,1,https://openalex.org/S66562390,https://openalex.org/T10754,,False
https://openalex.org/W1563956725,Michel Foucault : lire l'œuvre,1992,book,fr,9,https://openalex.org/S4306473774,https://openalex.org/T12295,,False
https://openalex.org/W1832203940,Место и некоторые особенности немецкого языка на европейском уровне,2011,article,ru,0,https://openalex.org/S4306539631,https://openalex.org/T14423,,False
https://openalex.org/W1851133417,مقایسه تأثیر دو روش آموزشی در ترغیب زنان باردار به انجام زایمان طبیعی,2012,article,fa,0,https://openalex.org/S4306537707,https://openalex.org/T14423,,False
https://openalex.org/W1990496354,Generalization of mechanical devices with any number of general constraints,1992,article,en,2,https://openalex.org/S6785741,https://openalex.org/T12907,https://doi.org/10.1016/0094-114x(92)90049-n,False
https://openalex.org/W1990536671,Lymphatic Malformations of the Orbit,2013,article,en,23,https://openalex.org/S172772906,https://openalex.org/T10980,https://doi.org/10.3342/ceo.2013.6.1.30,False
https://openalex.org/W1990742694,MgFeSiO4 prepared via a molten salt method as a new cathode material for rechargeable magnesium batteries,2011,article,en,67,https://openalex.org/S4210205735,https://openalex.org/T10018,https://doi.org/10.1007/s11434-010-4247-4,False
https://openalex.org/W1990871621,THE TRAJECTORY RECOVERY ANALYSIS PLANNER (TRAP): A TOOL FOR MODELING THE POTENTIAL SUCCESS OF RESPONSE PLANS1,2005,article,en,0,https://openalex.org/S4210180733,https://openalex.org/T12316,https://doi.org/10.7901/2169-3358-2005-1-253,False
https://openalex.org/W1991102996,Cibenzoline plasma concentration and antiarrhythmic effect,1984,article,en,40,https://openalex.org/S159852663,https://openalex.org/T11460,https://doi.org/10.1038/clpt.1984.35,False
https://openalex.org/W1991140266,"Singular thermochromic effects in dyeings with indigo, 6-bromoindigo, and 6,6′-dibromoindigo",2012,article,en,16,https://openalex.org/S137084839,https://openalex.org/T11708,https://doi.org/10.1016/j.dyepig.2012.07.014,False
https://openalex.org/W1991393918,Effects of social density and pre-knowledge on question asking in a novel setting,1987,article,en,6,https://openalex.org/S32271328,https://openalex.org/T14308,https://doi.org/10.1016/s0272-4944(87)80023-3,False
https://openalex.org/W1991669955,The stability constants of the monochloro complexes of Bk(III) and Es(III),1972,article,en,14,https://openalex.org/S74992862,https://openalex.org/T12852,https://doi.org/10.1016/0020-1650(72)80084-9,False
https://openalex.org/W1991724841,Technics and Materials for the Management of Gingival Cavities,1947,article,en,0,https://openalex.org/S116566766,https://openalex.org/T13768,https://doi.org/10.14219/jada.archive.1947.0047,False
https://openalex.org/W1991809229,On categories of behavior and control groups in multiple-response procedures,1979,article,en,2,https://openalex.org/S2945435,https://openalex.org/T10826,https://doi.org/10.3758/bf03209286,False
https://openalex.org/W1995680457,REVIEW OF PAPER-LIKE DISPLAY TECHNOLOGIES (Invited Review),2014,article,en,98,https://openalex.org/S4210208108,https://openalex.org/T12452,https://doi.org/10.2528/pier13120405,False
https://openalex.org/W1995965677,Kinetic Investigations of Boronized Cold Work Tool Steels,2014,article,en,9,https://openalex.org/S2765017384,https://openalex.org/T12427,https://doi.org/10.3139/120.110531,False
https://openalex.org/W1995972674,What is Controlled by Civilian Control of the Military? Control of the Military vs. Control of Militarization,2015,article,en,69,https://openalex.org/S21016770,https://openalex.org/T13494,https://doi.org/10.1177/0095327x14567918,False
https://openalex.org/W1996162400,DRY‐ROT DISEASE OF THE POTATO,1952,article,en,21,https://openalex.org/S71879176,https://openalex.org/T11745,https://doi.org/10.1111/j.1744-7348.1952.tb01015.x,False
