work_id,topic_id,score,is_primary
https://openalex.org/W1554476988,https://openalex.org/T10794,0.9982,True
https://openalex.org/W1554476988,https://openalex.org/T13560,0.9939,False
https://openalex.org/W1554476988,https://openalex.org/T13634,0.9933,False
https://openalex.org/W1555224325,https://openalex.org/T12123,0.9453,True
https://openalex.org/W1555224325,https://openalex.org/T12544,0.9365,False
https://openalex.org/W1556073558,https://openalex.org/T10019,0.9311,False
https://openalex.org/W1556073558,https://openalex.org/T12123,0.9958,True
https://openalex.org/W1556073558,https://openalex.org/T13957,0.9401,False
https://openalex.org/W1558442472,https://openalex.org/T11546,0.1554,True
https://openalex.org/W1558442472,https://openalex.org/T11613,0.1362,False
https://openalex.org/W1558442472,https://openalex.org/T12058,0.1512,False
https://openalex.org/W1559356957,https://openalex.org/T10624,0.9576,False
https://openalex.org/W1559356957,https://openalex.org/T12309,0.9635,True
https://openalex.org/W1561409268,https://openalex.org/T10286,0.309,True
https://openalex.org/W1562630836,https://openalex.org/T10754,0.9966,True
https://openalex.org/W1562630836,https://openalex.org/T11035,0.9675,False
https://openalex.org/W1562630836,https://openalex.org/T11271,0.952,False
https://openalex.org/W1563956725,https://openalex.org/T12295,0.9483,True
https://openalex.org/W1832203940,https://openalex.org/T13154,0.0105,False
https://openalex.org/W1832203940,https://openalex.org/T14235,0.0086,False
https://openalex.org/W1832203940,https://openalex.org/T14423,0.0184,True
https://openalex.org/W1851133417,https://openalex.org/T13154,0.0105,False
https://openalex.org/W1851133417,https://openalex.org/T14235,0.0086,False
https://openalex.org/W1851133417,https://openalex.org/T14423,0.0184,True
https://openalex.org/W1990496354,https://openalex.org/T10571,0.996,False
https://openalex.org/W1990496354,https://openalex.org/T11159,0.9959,False
https://openalex.org/W1990496354,https://openalex.org/T12907,0.9979,True
https://openalex.org/W1990536671,https://openalex.org/T10980,0.9998,True
https://openalex.org/W1990536671,https://openalex.org/T11383,0.9788,False
https://openalex.org/W1990536671,https://openalex.org/T12278,0.9764,False
https://openalex.org/W1990742694,https://openalex.org/T10018,1.0,True
https://openalex.org/W1990742694,https://openalex.org/T10281,0.9994,False
https://openalex.org/W1990742694,https://openalex.org/T11947,0.9973,False
https://openalex.org/W1990871621,https://openalex.org/T11357,0.9444,False
https://openalex.org/W1990871621,https://openalex.org/T11622,0.9754,False
https://openalex.org/W1990871621,https://openalex.org/T12316,0.9987,True
https://openalex.org/W1991102996,https://openalex.org/T11423,0.923,False
https://openalex.org/W1991102996,https://openalex.org/T11460,0.977,True
https://openalex.org/W1991102996,https://openalex.org/T12539,0.9302,False
https://openalex.org/W1991140266,https://openalex.org/T11144,0.9783,False
